"","species","culmen_length_mm","body_mass_g"
"1","Adelie Penguin (Pygoscelis adeliae)",39.1,3750
"2","Adelie Penguin (Pygoscelis adeliae)",39.5,3800
"3","Adelie Penguin (Pygoscelis adeliae)",40.3,3250
"4","Adelie Penguin (Pygoscelis adeliae)",36.7,3450
"5","Adelie Penguin (Pygoscelis adeliae)",39.3,3650
"6","Adelie Penguin (Pygoscelis adeliae)",38.9,3625
"7","Adelie Penguin (Pygoscelis adeliae)",39.2,4675
"8","Adelie Penguin (Pygoscelis adeliae)",34.1,3475
"9","Adelie Penguin (Pygoscelis adeliae)",42,4250
"10","Adelie Penguin (Pygoscelis adeliae)",37.8,3300
"11","Adelie Penguin (Pygoscelis adeliae)",37.8,3700
"12","Adelie Penguin (Pygoscelis adeliae)",41.1,3200
"13","Adelie Penguin (Pygoscelis adeliae)",38.6,3800
"14","Adelie Penguin (Pygoscelis adeliae)",34.6,4400
"15","Adelie Penguin (Pygoscelis adeliae)",36.6,3700
"16","Adelie Penguin (Pygoscelis adeliae)",38.7,3450
"17","Adelie Penguin (Pygoscelis adeliae)",42.5,4500
"18","Adelie Penguin (Pygoscelis adeliae)",34.4,3325
"19","Adelie Penguin (Pygoscelis adeliae)",46,4200
"20","Adelie Penguin (Pygoscelis adeliae)",37.8,3400
"21","Adelie Penguin (Pygoscelis adeliae)",37.7,3600
"22","Adelie Penguin (Pygoscelis adeliae)",35.9,3800
"23","Adelie Penguin (Pygoscelis adeliae)",38.2,3950
"24","Adelie Penguin (Pygoscelis adeliae)",38.8,3800
"25","Adelie Penguin (Pygoscelis adeliae)",35.3,3800
"26","Adelie Penguin (Pygoscelis adeliae)",40.6,3550
"27","Adelie Penguin (Pygoscelis adeliae)",40.5,3200
"28","Adelie Penguin (Pygoscelis adeliae)",37.9,3150
"29","Adelie Penguin (Pygoscelis adeliae)",40.5,3950
"30","Adelie Penguin (Pygoscelis adeliae)",39.5,3250
"31","Adelie Penguin (Pygoscelis adeliae)",37.2,3900
"32","Adelie Penguin (Pygoscelis adeliae)",39.5,3300
"33","Adelie Penguin (Pygoscelis adeliae)",40.9,3900
"34","Adelie Penguin (Pygoscelis adeliae)",36.4,3325
"35","Adelie Penguin (Pygoscelis adeliae)",39.2,4150
"36","Adelie Penguin (Pygoscelis adeliae)",38.8,3950
"37","Adelie Penguin (Pygoscelis adeliae)",42.2,3550
"38","Adelie Penguin (Pygoscelis adeliae)",37.6,3300
"39","Adelie Penguin (Pygoscelis adeliae)",39.8,4650
"40","Adelie Penguin (Pygoscelis adeliae)",36.5,3150
"41","Adelie Penguin (Pygoscelis adeliae)",40.8,3900
"42","Adelie Penguin (Pygoscelis adeliae)",36,3100
"43","Adelie Penguin (Pygoscelis adeliae)",44.1,4400
"44","Adelie Penguin (Pygoscelis adeliae)",37,3000
"45","Adelie Penguin (Pygoscelis adeliae)",39.6,4600
"46","Adelie Penguin (Pygoscelis adeliae)",41.1,3425
"47","Adelie Penguin (Pygoscelis adeliae)",37.5,2975
"48","Adelie Penguin (Pygoscelis adeliae)",36,3450
"49","Adelie Penguin (Pygoscelis adeliae)",42.3,4150
"50","Adelie Penguin (Pygoscelis adeliae)",39.6,3500
"51","Adelie Penguin (Pygoscelis adeliae)",40.1,4300
"52","Adelie Penguin (Pygoscelis adeliae)",35,3450
"53","Adelie Penguin (Pygoscelis adeliae)",42,4050
"54","Adelie Penguin (Pygoscelis adeliae)",34.5,2900
"55","Adelie Penguin (Pygoscelis adeliae)",41.4,3700
"56","Adelie Penguin (Pygoscelis adeliae)",39,3550
"57","Adelie Penguin (Pygoscelis adeliae)",40.6,3800
"58","Adelie Penguin (Pygoscelis adeliae)",36.5,2850
"59","Adelie Penguin (Pygoscelis adeliae)",37.6,3750
"60","Adelie Penguin (Pygoscelis adeliae)",35.7,3150
"61","Adelie Penguin (Pygoscelis adeliae)",41.3,4400
"62","Adelie Penguin (Pygoscelis adeliae)",37.6,3600
"63","Adelie Penguin (Pygoscelis adeliae)",41.1,4050
"64","Adelie Penguin (Pygoscelis adeliae)",36.4,2850
"65","Adelie Penguin (Pygoscelis adeliae)",41.6,3950
"66","Adelie Penguin (Pygoscelis adeliae)",35.5,3350
"67","Adelie Penguin (Pygoscelis adeliae)",41.1,4100
"68","Adelie Penguin (Pygoscelis adeliae)",35.9,3050
"69","Adelie Penguin (Pygoscelis adeliae)",41.8,4450
"70","Adelie Penguin (Pygoscelis adeliae)",33.5,3600
"71","Adelie Penguin (Pygoscelis adeliae)",39.7,3900
"72","Adelie Penguin (Pygoscelis adeliae)",39.6,3550
"73","Adelie Penguin (Pygoscelis adeliae)",45.8,4150
"74","Adelie Penguin (Pygoscelis adeliae)",35.5,3700
"75","Adelie Penguin (Pygoscelis adeliae)",42.8,4250
"76","Adelie Penguin (Pygoscelis adeliae)",40.9,3700
"77","Adelie Penguin (Pygoscelis adeliae)",37.2,3900
"78","Adelie Penguin (Pygoscelis adeliae)",36.2,3550
"79","Adelie Penguin (Pygoscelis adeliae)",42.1,4000
"80","Adelie Penguin (Pygoscelis adeliae)",34.6,3200
"81","Adelie Penguin (Pygoscelis adeliae)",42.9,4700
"82","Adelie Penguin (Pygoscelis adeliae)",36.7,3800
"83","Adelie Penguin (Pygoscelis adeliae)",35.1,4200
"84","Adelie Penguin (Pygoscelis adeliae)",37.3,3350
"85","Adelie Penguin (Pygoscelis adeliae)",41.3,3550
"86","Adelie Penguin (Pygoscelis adeliae)",36.3,3800
"87","Adelie Penguin (Pygoscelis adeliae)",36.9,3500
"88","Adelie Penguin (Pygoscelis adeliae)",38.3,3950
"89","Adelie Penguin (Pygoscelis adeliae)",38.9,3600
"90","Adelie Penguin (Pygoscelis adeliae)",35.7,3550
"91","Adelie Penguin (Pygoscelis adeliae)",41.1,4300
"92","Adelie Penguin (Pygoscelis adeliae)",34,3400
"93","Adelie Penguin (Pygoscelis adeliae)",39.6,4450
"94","Adelie Penguin (Pygoscelis adeliae)",36.2,3300
"95","Adelie Penguin (Pygoscelis adeliae)",40.8,4300
"96","Adelie Penguin (Pygoscelis adeliae)",38.1,3700
"97","Adelie Penguin (Pygoscelis adeliae)",40.3,4350
"98","Adelie Penguin (Pygoscelis adeliae)",33.1,2900
"99","Adelie Penguin (Pygoscelis adeliae)",43.2,4100
"100","Adelie Penguin (Pygoscelis adeliae)",35,3725
"101","Adelie Penguin (Pygoscelis adeliae)",41,4725
"102","Adelie Penguin (Pygoscelis adeliae)",37.7,3075
"103","Adelie Penguin (Pygoscelis adeliae)",37.8,4250
"104","Adelie Penguin (Pygoscelis adeliae)",37.9,2925
"105","Adelie Penguin (Pygoscelis adeliae)",39.7,3550
"106","Adelie Penguin (Pygoscelis adeliae)",38.6,3750
"107","Adelie Penguin (Pygoscelis adeliae)",38.2,3900
"108","Adelie Penguin (Pygoscelis adeliae)",38.1,3175
"109","Adelie Penguin (Pygoscelis adeliae)",43.2,4775
"110","Adelie Penguin (Pygoscelis adeliae)",38.1,3825
"111","Adelie Penguin (Pygoscelis adeliae)",45.6,4600
"112","Adelie Penguin (Pygoscelis adeliae)",39.7,3200
"113","Adelie Penguin (Pygoscelis adeliae)",42.2,4275
"114","Adelie Penguin (Pygoscelis adeliae)",39.6,3900
"115","Adelie Penguin (Pygoscelis adeliae)",42.7,4075
"116","Adelie Penguin (Pygoscelis adeliae)",38.6,2900
"117","Adelie Penguin (Pygoscelis adeliae)",37.3,3775
"118","Adelie Penguin (Pygoscelis adeliae)",35.7,3350
"119","Adelie Penguin (Pygoscelis adeliae)",41.1,3325
"120","Adelie Penguin (Pygoscelis adeliae)",36.2,3150
"121","Adelie Penguin (Pygoscelis adeliae)",37.7,3500
"122","Adelie Penguin (Pygoscelis adeliae)",40.2,3450
"123","Adelie Penguin (Pygoscelis adeliae)",41.4,3875
"124","Adelie Penguin (Pygoscelis adeliae)",35.2,3050
"125","Adelie Penguin (Pygoscelis adeliae)",40.6,4000
"126","Adelie Penguin (Pygoscelis adeliae)",38.8,3275
"127","Adelie Penguin (Pygoscelis adeliae)",41.5,4300
"128","Adelie Penguin (Pygoscelis adeliae)",39,3050
"129","Adelie Penguin (Pygoscelis adeliae)",44.1,4000
"130","Adelie Penguin (Pygoscelis adeliae)",38.5,3325
"131","Adelie Penguin (Pygoscelis adeliae)",43.1,3500
"132","Adelie Penguin (Pygoscelis adeliae)",36.8,3500
"133","Adelie Penguin (Pygoscelis adeliae)",37.5,4475
"134","Adelie Penguin (Pygoscelis adeliae)",38.1,3425
"135","Adelie Penguin (Pygoscelis adeliae)",41.1,3900
"136","Adelie Penguin (Pygoscelis adeliae)",35.6,3175
"137","Adelie Penguin (Pygoscelis adeliae)",40.2,3975
"138","Adelie Penguin (Pygoscelis adeliae)",37,3400
"139","Adelie Penguin (Pygoscelis adeliae)",39.7,4250
"140","Adelie Penguin (Pygoscelis adeliae)",40.2,3400
"141","Adelie Penguin (Pygoscelis adeliae)",40.6,3475
"142","Adelie Penguin (Pygoscelis adeliae)",32.1,3050
"143","Adelie Penguin (Pygoscelis adeliae)",40.7,3725
"144","Adelie Penguin (Pygoscelis adeliae)",37.3,3000
"145","Adelie Penguin (Pygoscelis adeliae)",39,3650
"146","Adelie Penguin (Pygoscelis adeliae)",39.2,4250
"147","Adelie Penguin (Pygoscelis adeliae)",36.6,3475
"148","Adelie Penguin (Pygoscelis adeliae)",36,3450
"149","Adelie Penguin (Pygoscelis adeliae)",37.8,3750
"150","Adelie Penguin (Pygoscelis adeliae)",36,3700
"151","Adelie Penguin (Pygoscelis adeliae)",41.5,4000
"152","Gentoo penguin (Pygoscelis papua)",46.1,4500
"153","Gentoo penguin (Pygoscelis papua)",50,5700
"154","Gentoo penguin (Pygoscelis papua)",48.7,4450
"155","Gentoo penguin (Pygoscelis papua)",50,5700
"156","Gentoo penguin (Pygoscelis papua)",47.6,5400
"157","Gentoo penguin (Pygoscelis papua)",46.5,4550
"158","Gentoo penguin (Pygoscelis papua)",45.4,4800
"159","Gentoo penguin (Pygoscelis papua)",46.7,5200
"160","Gentoo penguin (Pygoscelis papua)",43.3,4400
"161","Gentoo penguin (Pygoscelis papua)",46.8,5150
"162","Gentoo penguin (Pygoscelis papua)",40.9,4650
"163","Gentoo penguin (Pygoscelis papua)",49,5550
"164","Gentoo penguin (Pygoscelis papua)",45.5,4650
"165","Gentoo penguin (Pygoscelis papua)",48.4,5850
"166","Gentoo penguin (Pygoscelis papua)",45.8,4200
"167","Gentoo penguin (Pygoscelis papua)",49.3,5850
"168","Gentoo penguin (Pygoscelis papua)",42,4150
"169","Gentoo penguin (Pygoscelis papua)",49.2,6300
"170","Gentoo penguin (Pygoscelis papua)",46.2,4800
"171","Gentoo penguin (Pygoscelis papua)",48.7,5350
"172","Gentoo penguin (Pygoscelis papua)",50.2,5700
"173","Gentoo penguin (Pygoscelis papua)",45.1,5000
"174","Gentoo penguin (Pygoscelis papua)",46.5,4400
"175","Gentoo penguin (Pygoscelis papua)",46.3,5050
"176","Gentoo penguin (Pygoscelis papua)",42.9,5000
"177","Gentoo penguin (Pygoscelis papua)",46.1,5100
"178","Gentoo penguin (Pygoscelis papua)",44.5,4100
"179","Gentoo penguin (Pygoscelis papua)",47.8,5650
"180","Gentoo penguin (Pygoscelis papua)",48.2,4600
"181","Gentoo penguin (Pygoscelis papua)",50,5550
"182","Gentoo penguin (Pygoscelis papua)",47.3,5250
"183","Gentoo penguin (Pygoscelis papua)",42.8,4700
"184","Gentoo penguin (Pygoscelis papua)",45.1,5050
"185","Gentoo penguin (Pygoscelis papua)",59.6,6050
"186","Gentoo penguin (Pygoscelis papua)",49.1,5150
"187","Gentoo penguin (Pygoscelis papua)",48.4,5400
"188","Gentoo penguin (Pygoscelis papua)",42.6,4950
"189","Gentoo penguin (Pygoscelis papua)",44.4,5250
"190","Gentoo penguin (Pygoscelis papua)",44,4350
"191","Gentoo penguin (Pygoscelis papua)",48.7,5350
"192","Gentoo penguin (Pygoscelis papua)",42.7,3950
"193","Gentoo penguin (Pygoscelis papua)",49.6,5700
"194","Gentoo penguin (Pygoscelis papua)",45.3,4300
"195","Gentoo penguin (Pygoscelis papua)",49.6,4750
"196","Gentoo penguin (Pygoscelis papua)",50.5,5550
"197","Gentoo penguin (Pygoscelis papua)",43.6,4900
"198","Gentoo penguin (Pygoscelis papua)",45.5,4200
"199","Gentoo penguin (Pygoscelis papua)",50.5,5400
"200","Gentoo penguin (Pygoscelis papua)",44.9,5100
"201","Gentoo penguin (Pygoscelis papua)",45.2,5300
"202","Gentoo penguin (Pygoscelis papua)",46.6,4850
"203","Gentoo penguin (Pygoscelis papua)",48.5,5300
"204","Gentoo penguin (Pygoscelis papua)",45.1,4400
"205","Gentoo penguin (Pygoscelis papua)",50.1,5000
"206","Gentoo penguin (Pygoscelis papua)",46.5,4900
"207","Gentoo penguin (Pygoscelis papua)",45,5050
"208","Gentoo penguin (Pygoscelis papua)",43.8,4300
"209","Gentoo penguin (Pygoscelis papua)",45.5,5000
"210","Gentoo penguin (Pygoscelis papua)",43.2,4450
"211","Gentoo penguin (Pygoscelis papua)",50.4,5550
"212","Gentoo penguin (Pygoscelis papua)",45.3,4200
"213","Gentoo penguin (Pygoscelis papua)",46.2,5300
"214","Gentoo penguin (Pygoscelis papua)",45.7,4400
"215","Gentoo penguin (Pygoscelis papua)",54.3,5650
"216","Gentoo penguin (Pygoscelis papua)",45.8,4700
"217","Gentoo penguin (Pygoscelis papua)",49.8,5700
"218","Gentoo penguin (Pygoscelis papua)",46.2,4650
"219","Gentoo penguin (Pygoscelis papua)",49.5,5800
"220","Gentoo penguin (Pygoscelis papua)",43.5,4700
"221","Gentoo penguin (Pygoscelis papua)",50.7,5550
"222","Gentoo penguin (Pygoscelis papua)",47.7,4750
"223","Gentoo penguin (Pygoscelis papua)",46.4,5000
"224","Gentoo penguin (Pygoscelis papua)",48.2,5100
"225","Gentoo penguin (Pygoscelis papua)",46.5,5200
"226","Gentoo penguin (Pygoscelis papua)",46.4,4700
"227","Gentoo penguin (Pygoscelis papua)",48.6,5800
"228","Gentoo penguin (Pygoscelis papua)",47.5,4600
"229","Gentoo penguin (Pygoscelis papua)",51.1,6000
"230","Gentoo penguin (Pygoscelis papua)",45.2,4750
"231","Gentoo penguin (Pygoscelis papua)",45.2,5950
"232","Gentoo penguin (Pygoscelis papua)",49.1,4625
"233","Gentoo penguin (Pygoscelis papua)",52.5,5450
"234","Gentoo penguin (Pygoscelis papua)",47.4,4725
"235","Gentoo penguin (Pygoscelis papua)",50,5350
"236","Gentoo penguin (Pygoscelis papua)",44.9,4750
"237","Gentoo penguin (Pygoscelis papua)",50.8,5600
"238","Gentoo penguin (Pygoscelis papua)",43.4,4600
"239","Gentoo penguin (Pygoscelis papua)",51.3,5300
"240","Gentoo penguin (Pygoscelis papua)",47.5,4875
"241","Gentoo penguin (Pygoscelis papua)",52.1,5550
"242","Gentoo penguin (Pygoscelis papua)",47.5,4950
"243","Gentoo penguin (Pygoscelis papua)",52.2,5400
"244","Gentoo penguin (Pygoscelis papua)",45.5,4750
"245","Gentoo penguin (Pygoscelis papua)",49.5,5650
"246","Gentoo penguin (Pygoscelis papua)",44.5,4850
"247","Gentoo penguin (Pygoscelis papua)",50.8,5200
"248","Gentoo penguin (Pygoscelis papua)",49.4,4925
"249","Gentoo penguin (Pygoscelis papua)",46.9,4875
"250","Gentoo penguin (Pygoscelis papua)",48.4,4625
"251","Gentoo penguin (Pygoscelis papua)",51.1,5250
"252","Gentoo penguin (Pygoscelis papua)",48.5,4850
"253","Gentoo penguin (Pygoscelis papua)",55.9,5600
"254","Gentoo penguin (Pygoscelis papua)",47.2,4975
"255","Gentoo penguin (Pygoscelis papua)",49.1,5500
"256","Gentoo penguin (Pygoscelis papua)",47.3,4725
"257","Gentoo penguin (Pygoscelis papua)",46.8,5500
"258","Gentoo penguin (Pygoscelis papua)",41.7,4700
"259","Gentoo penguin (Pygoscelis papua)",53.4,5500
"260","Gentoo penguin (Pygoscelis papua)",43.3,4575
"261","Gentoo penguin (Pygoscelis papua)",48.1,5500
"262","Gentoo penguin (Pygoscelis papua)",50.5,5000
"263","Gentoo penguin (Pygoscelis papua)",49.8,5950
"264","Gentoo penguin (Pygoscelis papua)",43.5,4650
"265","Gentoo penguin (Pygoscelis papua)",51.5,5500
"266","Gentoo penguin (Pygoscelis papua)",46.2,4375
"267","Gentoo penguin (Pygoscelis papua)",55.1,5850
"268","Gentoo penguin (Pygoscelis papua)",44.5,4875
"269","Gentoo penguin (Pygoscelis papua)",48.8,6000
"270","Gentoo penguin (Pygoscelis papua)",47.2,4925
"271","Gentoo penguin (Pygoscelis papua)",46.8,4850
"272","Gentoo penguin (Pygoscelis papua)",50.4,5750
"273","Gentoo penguin (Pygoscelis papua)",45.2,5200
"274","Gentoo penguin (Pygoscelis papua)",49.9,5400
"275","Chinstrap penguin (Pygoscelis antarctica)",46.5,3500
"276","Chinstrap penguin (Pygoscelis antarctica)",50,3900
"277","Chinstrap penguin (Pygoscelis antarctica)",51.3,3650
"278","Chinstrap penguin (Pygoscelis antarctica)",45.4,3525
"279","Chinstrap penguin (Pygoscelis antarctica)",52.7,3725
"280","Chinstrap penguin (Pygoscelis antarctica)",45.2,3950
"281","Chinstrap penguin (Pygoscelis antarctica)",46.1,3250
"282","Chinstrap penguin (Pygoscelis antarctica)",51.3,3750
"283","Chinstrap penguin (Pygoscelis antarctica)",46,4150
"284","Chinstrap penguin (Pygoscelis antarctica)",51.3,3700
"285","Chinstrap penguin (Pygoscelis antarctica)",46.6,3800
"286","Chinstrap penguin (Pygoscelis antarctica)",51.7,3775
"287","Chinstrap penguin (Pygoscelis antarctica)",47,3700
"288","Chinstrap penguin (Pygoscelis antarctica)",52,4050
"289","Chinstrap penguin (Pygoscelis antarctica)",45.9,3575
"290","Chinstrap penguin (Pygoscelis antarctica)",50.5,4050
"291","Chinstrap penguin (Pygoscelis antarctica)",50.3,3300
"292","Chinstrap penguin (Pygoscelis antarctica)",58,3700
"293","Chinstrap penguin (Pygoscelis antarctica)",46.4,3450
"294","Chinstrap penguin (Pygoscelis antarctica)",49.2,4400
"295","Chinstrap penguin (Pygoscelis antarctica)",42.4,3600
"296","Chinstrap penguin (Pygoscelis antarctica)",48.5,3400
"297","Chinstrap penguin (Pygoscelis antarctica)",43.2,2900
"298","Chinstrap penguin (Pygoscelis antarctica)",50.6,3800
"299","Chinstrap penguin (Pygoscelis antarctica)",46.7,3300
"300","Chinstrap penguin (Pygoscelis antarctica)",52,4150
"301","Chinstrap penguin (Pygoscelis antarctica)",50.5,3400
"302","Chinstrap penguin (Pygoscelis antarctica)",49.5,3800
"303","Chinstrap penguin (Pygoscelis antarctica)",46.4,3700
"304","Chinstrap penguin (Pygoscelis antarctica)",52.8,4550
"305","Chinstrap penguin (Pygoscelis antarctica)",40.9,3200
"306","Chinstrap penguin (Pygoscelis antarctica)",54.2,4300
"307","Chinstrap penguin (Pygoscelis antarctica)",42.5,3350
"308","Chinstrap penguin (Pygoscelis antarctica)",51,4100
"309","Chinstrap penguin (Pygoscelis antarctica)",49.7,3600
"310","Chinstrap penguin (Pygoscelis antarctica)",47.5,3900
"311","Chinstrap penguin (Pygoscelis antarctica)",47.6,3850
"312","Chinstrap penguin (Pygoscelis antarctica)",52,4800
"313","Chinstrap penguin (Pygoscelis antarctica)",46.9,2700
"314","Chinstrap penguin (Pygoscelis antarctica)",53.5,4500
"315","Chinstrap penguin (Pygoscelis antarctica)",49,3950
"316","Chinstrap penguin (Pygoscelis antarctica)",46.2,3650
"317","Chinstrap penguin (Pygoscelis antarctica)",50.9,3550
"318","Chinstrap penguin (Pygoscelis antarctica)",45.5,3500
"319","Chinstrap penguin (Pygoscelis antarctica)",50.9,3675
"320","Chinstrap penguin (Pygoscelis antarctica)",50.8,4450
"321","Chinstrap penguin (Pygoscelis antarctica)",50.1,3400
"322","Chinstrap penguin (Pygoscelis antarctica)",49,4300
"323","Chinstrap penguin (Pygoscelis antarctica)",51.5,3250
"324","Chinstrap penguin (Pygoscelis antarctica)",49.8,3675
"325","Chinstrap penguin (Pygoscelis antarctica)",48.1,3325
"326","Chinstrap penguin (Pygoscelis antarctica)",51.4,3950
"327","Chinstrap penguin (Pygoscelis antarctica)",45.7,3600
"328","Chinstrap penguin (Pygoscelis antarctica)",50.7,4050
"329","Chinstrap penguin (Pygoscelis antarctica)",42.5,3350
"330","Chinstrap penguin (Pygoscelis antarctica)",52.2,3450
"331","Chinstrap penguin (Pygoscelis antarctica)",45.2,3250
"332","Chinstrap penguin (Pygoscelis antarctica)",49.3,4050
"333","Chinstrap penguin (Pygoscelis antarctica)",50.2,3800
"334","Chinstrap penguin (Pygoscelis antarctica)",45.6,3525
"335","Chinstrap penguin (Pygoscelis antarctica)",51.9,3950
"336","Chinstrap penguin (Pygoscelis antarctica)",46.8,3650
"337","Chinstrap penguin (Pygoscelis antarctica)",45.7,3650
"338","Chinstrap penguin (Pygoscelis antarctica)",55.8,4000
"339","Chinstrap penguin (Pygoscelis antarctica)",43.5,3400
"340","Chinstrap penguin (Pygoscelis antarctica)",49.6,3775
"341","Chinstrap penguin (Pygoscelis antarctica)",50.8,4100
"342","Chinstrap penguin (Pygoscelis antarctica)",50.2,3775
